吖	1443|a1
阿	52_1|a1,e1
锕	_152|a1
嗄	1413|a2,sha4
啊	1452|a5,a2,a4,a3
哎	14_5|ai1
哀	4114|ai1
埃	_454|ai1
挨	4254|ai1,ai2
唉	1454|ai4,ai1
欸	5435|ei1,ei2,ei3,ei4,ai3,ai1
锿	_141|ai1
皑	3225|ai2
癌	4114|ai2
毐	1255|ai3
嗳	1434|ai4,ai1,ai3
矮	3131|ai3
蔼	_545|ai3
霭	1445|ai3
艾	_534|ai4,yi4
砹	13_5|ai4
爱	3413|ai4
隘	5243|ai4
碍	1322|ai4
嗌	1443|yi4,ai4
嫒	5334|ai4
瑷	1134|ai4
叆	1134|ai4
暧	2234|ai4
安	4453|an1
桉	_244|an1
氨	3144|an1
庵	4113|an1
谙	4541|an1
鹌	1335|an1
𩽾	3544|an1
鞍	1244|an1
盦	2425|an1
垵	_444|an1,an3
俺	2413|an3
埯	_413|an3
唵	1413|an3
铵	_144|an3
犴	3511|han1,an4
岸	2513|an4
按	4244|an4
胺	2344|an4
案	44_2|an4
暗	2241|an4
黯	2541|an4
肮	2341|ang1
卬	3552|ang2,yang3
昂	2235|ang2
盎	2525|ang4
凹	25_1|ao1,wa1
敖	1131|ao2
嶅	1125|ao2
遨	1145|ao2
嗷	1411|ao2
廒	4111|ao2
璈	1111|ao2
獒	1113|ao2
熬	1144|ao2,ao1
聱	1112|ao2
螯	1125|ao2
翱	3254|ao2
鳌	1135|ao2
鏖	41_1|ao2
袄	4531|ao3
媪	5322|ao3
岙	3125|ao4
坳	_455|ao4
拗	4255|niu4,ao3,ao4
奡	1313|ao4
傲	2411|ao4
奥	3213|ao4
骜	1155|ao4
隩	5232|yu4,ao4
薁	_532|ao4,yu4
澳	_332|ao4
懊	4432|ao4
鏊	11_1|ao4
八	3453|ba1
巴	52_5|ba1
扒	4234|ba1,pa2
叭	1434|ba1
朳	_234|ba1
芭	_552|ba1
岜	2552|ba1
疤	4152|ba1
捌	4214|ba1
蚆	2552|ba1
笆	3152|ba1
羓	4352|ba1
粑	4352|ba1
鲃	3552|ba1
拔	4213|ba2
妭	5313|ba2
胈	2313|ba2
菝	_542|ba2
跋	1413|ba2
魃	3213|ba2
把	4252|ba3,ba4
钯	_152|ba3,pa2
靶	1252|ba3
坝	_425|ba4
爸	3452|ba4
耙	1152|pa2,ba4
罢	25_4|ba4,ba5
鲅	3513|ba4
霸	1412|ba4
灞	_314|ba4
吧	1452|ba5
掰	3134|bai1
白	32_1|bai2
百	1322|bai3
佰	2413|bai3
柏	_232|bai3,bo2,bo4
捭	4232|bai3
摆	4225|bai3
败	2531|bai4
拜	3111|bai4,bai2
稗	3132|bai4
扳	4233|ban1,pan1
攽	3431|ban1
班	1143|ban1
般	3335|ban1,bo1,pan2
颁	3413|ban1
斑	1141|ban1
搬	4233|ban1
瘢	4133|ban1
癍	4111|ban1
𨭉	41_1|ban1
阪	5233|ban3
坂	_433|ban3
板	_233|ban3
昄	2233|ban3
版	3233|ban3
钣	_133|ban3
办	53_4|ban4
半	43_2|ban4
扮	4234|ban4
伴	2443|ban4
拌	4243|ban4
绊	5543|ban4
柈	_243|ban4
湴	_343|ban4
靽	1243|ban4
瓣	4133|ban4
邦	1152|bang1
帮	1125|bang1
𠳐	1411|bang1
梆	_211|bang1
浜	_332|bang1
绑	5511|bang3
榜	_241|bang3,bang4,peng2
膀	2341|bang3,pang1,pang2,bang4
玤	1111|bang4
蚌	2511|bang4,beng4
棒	_211|bang4
棓	_241|bei4,bang4
傍	2441|bang4
谤	4541|bang4
塝	_441|bang4
搒	4241|bang4,peng2
蒡	_541|bang4,pang2
磅	1341|bang4,pang2
镑	_141|bang4
包	3551|bao1
苞	_535|bao1
孢	5235|bao1
枹	_235|bao1,fu2
胞	2335|bao1
龅	2135|bao1
煲	2443|bao1
褒	4124|bao1
雹	1435|bao2
薄	_5_3|bo2,bao2,bo4
饱	3535|bao3
宝	4411|bao3
保	2414|bao3
鸨	3535|bao3
葆	_524|bao3
堡	24_4|bao3,pu4,bu3
褓	4524|bao3
报	4252|bao4
抱	4235|bao4
趵	1435|bao4,bo1
豹	3435|bao4
鲍	3535|bao4
暴	2212|bao4,pu4
爆	4322|bao4
陂	5253|bei1,pi2,po1
杯	_213|bei1
卑	3212|bei1
椑	_232|bei1,pi2
悲	2145|bei1
碑	1332|bei1
鹎	3235|bei1
北	2135|bei3
贝	2524|bei4
